sample_id,depth_mm,age_BP,d18O,d18O_prec
295764,124.6,7206.9,-2.85,0.08
295765,124.8,7211.4,-2.61,0.08
295766,125,7216,-2.67,0.08
295767,125.2,7220.6,-2.88,0.08
295768,125.4,7225.3,-2.89,0.08
295769,125.6,7230,-2.83,0.08
295770,125.8,7234.7,-2.86,0.08
295771,126,7239.5,-2.9,0.08
295772,126.2,7244.2,-2.83,0.08
295773,126.4,7249,-2.79,0.08
295774,126.6,7253.8,-2.69,0.08
295775,126.8,7258.6,-2.67,0.08
295776,127,7263.4,-2.52,0.08
295777,127.2,7268.2,-2.55,0.08
295778,127.4,7273,-2.6,0.08
295779,127.6,7277.8,-2.46,0.08
295780,127.8,7282.6,-2.59,0.08
295781,128,7287.3,-2.56,0.08
295782,128.2,7292,-2.73,0.08
295783,128.4,7296.7,-2.47,0.08
295784,128.6,7301.4,-2.45,0.08
295785,128.8,7306,-2.3,0.08
295786,129,7310.6,-2.37,0.08
295787,129.2,7315.2,-2.22,0.08
295788,129.4,7319.8,-2.27,0.08
295789,129.6,7324.4,-2.27,0.08
295790,129.8,7329,-2.27,0.08
295791,130,7333.5,-2.36,0.08
295792,130.2,7338.1,-2.52,0.08
295793,130.4,7342.7,-2.33,0.08
295794,130.6,7347.2,-2.58,0.08
295795,130.8,7351.8,-2.57,0.08
295796,131,7356.3,-2.58,0.08
295797,131.2,7360.9,-2.49,0.08
295798,131.4,7365.4,-2.42,0.08
295799,131.6,7369.9,-2.41,0.08
295800,131.8,7374.4,-2.56,0.08
295801,132,7378.9,-2.69,0.08
295802,132.2,7383.3,-2.63,0.08
295803,132.4,7387.8,-2.63,0.08
295804,132.6,7392.1,-2.64,0.08
295805,132.8,7396.5,-2.67,0.08
295806,133,7400.7,-2.7,0.08
295807,133.2,7404.9,-2.59,0.08
295808,133.4,7409,-2.53,0.08
295809,133.6,7412.9,-2.59,0.08
295810,133.8,7416.8,-2.55,0.08
295811,134,7420.5,-2.37,0.08
295812,134.2,7424.1,-2.45,0.08
295813,134.4,7427.5,-2.31,0.08
295814,134.6,7430.9,-2.48,0.08
295815,134.8,7434.2,-2.65,0.08
295816,135,7437.5,-2.78,0.08
295817,135.2,7440.8,-2.81,0.08
295818,135.4,7444.2,-2.82,0.08
295819,135.6,7447.7,-2.87,0.08
295820,135.8,7451.3,-3.01,0.08
295821,136,7455,-2.89,0.08
295822,136.2,7458.9,-2.65,0.08
295823,136.4,7463,-2.71,0.08
295824,136.6,7467.3,-2.64,0.08
295825,136.8,7471.7,-2.38,0.08
295826,137,7476.3,-2.34,0.08
295827,137.2,7481,-2.28,0.08
295828,137.4,7485.9,-2.2,0.08
295829,137.6,7490.9,-2.29,0.08
295830,137.8,7496.1,-2.46,0.08
