sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
379449,30.8,13513,-0.04,0.08,23.99042,NA
379450,30.9,13524,-0.08,0.08,24.08604,NA
379451,31,13536,-0.41,0.08,26.21492,NA
379452,31.1,13547,-0.18,0.08,25.805,NA
379453,31.2,13559,-0.19,0.08,25.2405,NA
379454,31.3,13570,-0.27,0.08,28.14335,NA
379455,31.4,13582,-0.2,0.08,25.12493,NA
379456,31.5,13593,-0.47,0.08,25.30224,NA
379457,31.6,13605,-0.36,0.08,24.83134,NA
379458,31.7,13616,-0.3,0.08,23.9393,NA
379459,31.8,13628,-0.1,0.08,25.21445,NA
379460,31.9,13639,0.02,0.08,23.08019,NA
379461,32,13651,0,0.08,25.33082,NA
379462,32.1,13663,0.07,0.08,25.62083,NA
379463,32.2,13674,-0.1,0.08,24.27598,NA
379464,32.3,13685,-0.27,0.08,27.91961,NA
379465,32.4,13697,-0.11,0.08,24.75614,NA
379466,32.5,13708,-0.52,0.08,20.73131,NA
379467,32.6,13720,-0.27,0.08,24.35119,NA
379468,32.7,13731,0.25,0.08,26.74332,NA
379469,32.8,13743,0.14,0.08,26.50522,NA
379470,32.9,13754,-0.04,0.08,25.29147,NA
379471,33,13765,-0.02,0.08,24.89843,NA
379472,33.1,13776,0.1,0.08,25.83945,NA
379473,33.2,13788,-0.13,0.08,27.08018,NA
379474,33.3,13799,0.02,0.08,28.23217,NA
379475,33.4,13810,0.12,0.08,28.32846,NA
379476,33.5,13821,-0.03,0.08,26.52827,NA
379477,33.6,13832,-0.04,0.08,25.84633,NA
379478,33.7,13843,-0.1,0.08,28.6259,NA
379479,33.8,13855,0.04,0.08,29.15409,NA
379480,33.9,13866,0.36,0.08,26.73134,NA
379481,34,13877,0.55,0.08,25.5977,NA
379482,34.1,13888,0.85,0.08,22.09805,NA
379483,34.2,13899,0.61,0.08,22.68568,NA
379484,34.3,13910,0.39,0.08,21.57869,NA
379485,34.4,13921,0.36,0.08,23.1702,NA
379486,34.5,13932,0.34,0.08,23.02477,NA
379487,34.6,13943,0.22,0.08,21.72474,NA
379488,34.7,13954,0.19,0.08,21.15478,NA
379489,34.8,13965,0.16,0.08,21.34591,NA
379490,34.9,13976,0.22,0.08,22.47577,NA
379491,35,13987,0.27,0.08,21.24383,NA
379492,35.1,13998,0.28,0.08,21.32769,NA
379493,35.2,14008,0.24,0.08,20.27735,NA
379494,35.3,14019,0.27,0.08,17.32046,NA
379495,35.4,14030,-0.06,0.08,19.48374,NA
379496,35.5,14041,0.05,0.08,20.46412,NA
379497,35.6,14052,0.17,0.08,19.85466,NA
379498,35.7,14063,0.37,0.08,20.96104,NA
379499,35.8,14074,0.38,0.08,21.12705,NA
379500,35.9,14085,0.37,0.08,20.34222,NA
379501,36,14095,0.24,0.08,19.7798,NA
379502,36.1,14106,0.3,0.08,20.23309,NA
379503,36.2,14117,0.02,0.08,19.56108,NA
379504,36.3,14127,0.16,0.08,20.9321,NA
379505,36.4,14138,0.26,0.08,19.74913,NA
379506,36.5,14149,0.22,0.08,21.15107,NA
379507,36.6,14159,0.25,0.08,19.99082,NA
379508,36.7,14170,0.17,0.08,19.71805,NA
379509,36.8,14180,0.08,0.08,20.93607,NA
379510,36.9,14190,0.25,0.08,19.77959,NA
379511,37,14201,0.34,0.08,21.06926,NA
379512,37.1,14211,0.24,0.08,22.47469,NA
379513,37.2,14221,0.36,0.08,21.663,NA
379514,37.3,14231,0.13,0.08,20.55658,NA
379515,37.4,14242,0.25,0.08,19.56488,NA
379516,37.5,14252,0.18,0.08,18.82652,NA
379517,37.6,14262,0.21,0.08,18.81682,NA
379518,37.7,14272,0.16,0.08,19.43985,NA
379519,37.8,14282,0.17,0.08,19.1466,NA
379520,37.9,14292,0.1,0.08,19.43521,NA
379521,38,14302,0.15,0.08,20.29996,NA
379522,38.1,14312,0.16,0.08,20.54361,NA
379523,38.2,14322,0.08,0.08,19.99843,NA
379524,38.3,14332,0.23,0.08,19.96617,NA
379525,38.4,14342,0.43,0.08,19.23137,NA
379526,38.5,14352,0.12,0.08,18.12201,NA
379527,38.6,14362,-0.12,0.08,18.38955,NA
379528,38.7,14371,0.11,0.08,19.079,NA
379529,38.8,14381,0.39,0.08,18.9074,NA
379530,38.9,14391,0.4,0.08,17.93629,NA
379531,39,14401,0.19,0.08,18.76301,NA
379532,39.1,14411,0.03,0.08,19.14359,NA
379533,39.2,14421,0.07,0.08,18.28739,NA
379534,39.3,14431,0.13,0.08,17.56647,NA
379535,39.4,14441,0.09,0.08,17.10866,NA
379536,39.5,14451,0.15,0.08,17.36536,NA
379537,39.6,14461,0.27,0.08,19.35597,NA
379538,39.7,14471,0.03,0.08,19.69567,NA
379539,39.8,14480,0.21,0.08,20.91805,NA
379540,39.9,14490,0.38,0.08,20.81714,NA
379541,40,14500,0.38,0.08,20.85486,NA
379542,40.1,14510,0.19,0.08,19.58645,NA
379543,40.2,14520,0.02,0.08,20.10872,NA
379544,40.3,14530,0.08,0.08,20.38241,NA
379545,40.4,14540,0.35,0.08,21.10158,NA
379546,40.5,14550,0.35,0.08,20.41696,NA
379547,40.6,14559,0.26,0.08,20.19695,NA
379548,40.7,14569,0.25,0.08,20.44637,NA
379549,40.8,14579,0.45,0.08,22.27731,NA
379550,40.9,14589,0.58,0.08,20.63012,NA
379551,41,14599,0.38,0.08,20.75909,NA
379552,41.1,14609,0.34,0.08,20.67765,NA
379553,41.2,14618,0.18,0.08,20.22735,NA
379554,41.3,14628,0.04,0.08,21.17817,NA
379555,41.4,14638,0.05,0.08,20.75062,NA
379556,41.5,14648,-0.01,0.08,22.73508,NA
379557,41.6,14657,0.34,0.08,19.76157,NA
379558,41.7,14667,0.14,0.08,19.13992,NA
379559,41.8,14677,0.18,0.08,19.41353,NA
379560,41.9,14687,0.24,0.08,20.18891,NA
379561,42,14696,0.2,0.08,20.02571,NA
379562,42.1,14706,0.3,0.08,19.98056,NA
379563,42.2,14716,0.24,0.08,19.93542,NA
379564,42.3,14726,0.26,0.08,19.89027,NA
379565,42.4,14735,0.14,0.08,19.84512,NA
379566,42.5,14745,0.4,0.08,19.79997,NA
379567,42.6,14755,0.09,0.08,19.75483,NA
379568,42.7,14765,0.24,0.08,19.70968,NA
379569,42.8,14774,0.06,0.08,19.47303,NA
379570,42.9,14784,0.05,0.08,19.04121,NA
379571,43,14794,0.05,0.08,18.71564,NA
379572,43.1,14804,-0.02,0.08,18.18971,NA
379573,43.2,14813,-0.01,0.08,18.53323,NA
379574,43.3,14823,0.1,0.08,17.99796,NA
379575,43.4,14833,0.09,0.08,18.76942,NA
379576,43.5,14843,0.09,0.08,18.53606,NA
379577,43.6,14853,-0.09,0.08,17.23624,NA
379578,43.7,14862,0.16,0.08,17.97795,NA
379579,43.8,14872,-0.07,0.08,18.50748,NA
379580,43.9,14882,0.15,0.08,18.07181,NA
379581,44,14891,0,0.08,19.46053,NA
379582,44.1,14901,0.04,0.08,18.65626,NA
379583,44.2,14911,0.09,0.08,18.72995,NA
379584,44.3,14920,0.14,0.08,18.27294,NA
379585,44.4,14930,-0.06,0.08,17.72927,NA
379586,44.5,14940,-0.04,0.08,17.19147,NA
379587,44.6,14949,0.03,0.08,17.78217,NA
379588,44.7,14959,-0.23,0.08,17.10557,NA
379589,44.8,14968,-0.07,0.08,17.80919,NA
379590,44.9,14977,-0.22,0.08,17.78776,NA
379591,45,14987,-0.12,0.08,17.41756,NA
379592,45.1,14996,0.02,0.08,18.01173,NA
379593,45.2,15005,0.16,0.08,19.11051,NA
379594,45.3,15015,0.14,0.08,18.22253,NA
379595,45.4,15024,0.17,0.08,18.54358,NA
379596,45.5,15033,0.32,0.08,18.85263,NA
379597,45.6,15042,0.35,0.08,20.3934,NA
379598,45.7,15051,0.13,0.08,17.53466,NA
379599,45.8,15060,0.07,0.08,16.69865,NA
379600,45.9,15069,0.1,0.08,17.77234,NA
379601,46,15078,-0.13,0.08,16.65848,NA
