year_CE,d18O
429.3,-3.4400
429.4,-3.4900
429.6,-3.6700
429.7,-3.7800
429.8,-3.6300
429.9,-3.6000
430.0,-3.5700
430.2,-3.4700
430.3,-3.4900
430.4,-3.4200
430.5,-3.5300
430.6,-3.3700
430.8,-3.4000
431.0,-3.6900
431.1,-3.4500
431.3,-3.5000
431.4,-3.3700
431.5,-3.4300
431.7,-3.4000
431.8,-3.3800
431.9,-3.3200
432.1,-3.4400
432.2,-3.4100
432.3,-3.3600
432.5,-3.6300
432.6,-3.6100
432.7,-3.3900
432.8,-3.4900
433.0,-3.4100
433.1,-3.3100
433.2,-3.4400
433.4,-3.4200
433.5,-3.3900
433.6,-3.4200
433.7,-3.2700
433.8,-3.2700
434.0,-3.1500
434.0,-3.3200
434.1,-3.1400
434.2,-3.5600
434.4,-3.0500
434.5,-3.1700
434.6,-3.1300
434.7,-3.1300
434.8,-3.3200
435.0,-3.3100
435.1,-3.2000
435.2,-3.2200
435.3,-3.2500
435.5,-3.3700
435.6,-3.2100
435.7,-3.4600
435.9,-3.6600
435.9,-3.6700
436.1,-3.5900
436.2,-3.8100
436.3,-3.6800
436.5,-3.7100
436.6,-3.6800
436.7,-3.6100
436.8,-3.5800
437.0,-3.6100
437.1,-3.5900
437.2,-3.4600
437.3,-3.5900
437.5,-3.5500
437.6,-3.7800
437.7,-3.5800
437.8,-3.5200
438.0,-4.3300
438.1,-3.6700
438.2,-3.7400
438.3,-3.7900
438.4,-4.0100
438.6,-3.9000
438.7,-3.8800
438.8,-3.8300
438.9,-3.8500
439.1,-4.0100
439.2,-3.8900
439.3,-3.7400
439.5,-3.9200
439.6,-3.6300
439.7,-3.5000
439.8,-3.4500
439.9,-3.3600
440.1,-3.4200
440.2,-3.5700
440.3,-3.4800
440.5,-3.7800
440.6,-3.7100
440.7,-3.7100
440.8,-3.7900
440.9,-3.9800
441.0,-3.9600
441.2,-3.8100
441.3,-4.0000
441.4,-3.9700
441.5,-3.9600
441.7,-3.8700
441.8,-3.9100
441.9,-3.9600
442.0,-4.0200
442.1,-4.0400
442.2,-4.1500
442.4,-4.1300
442.5,-3.9200
442.6,-3.7800
442.7,-3.8200
442.8,-3.8000
443.0,-3.7000
443.1,-3.6400
443.2,-3.7100
443.3,-3.7700
443.5,-3.7300
443.6,-3.7900
443.7,-3.8000
443.8,-3.7700
443.9,-3.9100
444.1,-3.8700
444.2,-4.0000
444.4,-4.0300
444.5,-4.0400
444.6,-4.1100
444.7,-4.0000
444.8,-3.9600
445.0,-3.9700
445.1,-4.0200
445.3,-4.0200
445.4,-4.0300
445.5,-4.0700
445.7,-3.8900
445.8,-3.8200
446.0,-3.9600
446.1,-3.7900
446.2,-3.8500
446.4,-3.7400
446.5,-3.7800
446.7,-3.9400
446.8,-3.7700
446.9,-3.7300
447.1,-3.6600
447.2,-3.5800
447.3,-3.4900
447.5,-3.4700
447.6,-3.5000
447.8,-3.9600
447.9,-3.4900
448.1,-3.6800
448.3,-3.5200
448.4,-3.5500
448.6,-3.5700
448.8,-3.6400
448.9,-3.5100
449.1,-3.4000
449.2,-3.4000
449.4,-3.4600
449.5,-3.5300
449.7,-3.8700
449.8,-3.5500
450.0,-3.6900
450.1,-3.7700
450.2,-3.8300
450.4,-3.9300
450.5,-3.9300
450.7,-3.9400
450.8,-4.1000
451.0,-3.8800
451.1,-3.8000
451.2,-3.8200
451.4,-3.7500
451.5,-3.8300
451.7,-3.7700
452.4,-3.7600
453.1,-3.7100
453.7,-3.7200
454.4,-3.8500
455.1,-3.7600
455.9,-3.7800
456.6,-3.7300
457.3,-3.7800
458.0,-3.5600
458.7,-3.5500
459.4,-3.5200
460.1,-3.5400
460.8,-3.4400
461.5,-3.5000
462.1,-3.6000
462.9,-3.6300
463.6,-3.5800
464.3,-3.6600
465.0,-3.7500
465.7,-3.7600
466.4,-3.8000
467.1,-3.7400
467.8,-3.9900
468.5,-4.1500
469.2,-4.1200
469.8,-4.1900
470.5,-4.1400
471.2,-4.0800
471.9,-4.1400
472.6,-4.2100
473.3,-4.0200
474.0,-4.1000
474.7,-4.1400
475.4,-4.1100
