depth_mm,age_AD,d18O,z_d18O,d13C,z_d13C
245.1,704.0,-3.98,-0.649,-9.02,-0.983
245.0,704.2,-4.08,-0.930,-8.95,-0.897
244.9,704.4,-4.09,-0.959,-9.03,-0.996
244.8,704.5,-4.52,-2.167,-9.22,-1.229
244.7,704.7,-4.38,-1.774,-8.97,-0.922
244.6,704.9,-4.36,-1.717,-9.05,-1.020
244.5,705.1,-4.64,-2.504,-9.17,-1.167
244.4,705.3,-4.5,-2.111,-8.93,-0.873
244.3,705.6,-4.5,-2.111,-8.84,-0.762
244.2,705.8,-4.37,-1.745,-8.77,-0.677
244.1,706.1,-4.54,-2.223,-8.74,-0.640
244.0,706.4,-4.49,-2.083,-8.75,-0.652
243.9,706.6,-4.22,-1.324,-8.4,-0.223
243.8,706.9,-4.27,-1.464,-8.46,-0.296
243.7,707.1,-4.1,-0.987,-8.12,0.121
243.6,707.5,-3.92,-0.481,-7.96,0.317
243.5,707.9,-3.81,-0.172,-7.75,0.575
243.4,708.1,-3.77,-0.059,-7.58,0.784
243.3,708.5,-3.9,-0.424,-7.13,1.336
243.2,709.0,-3.52,0.644,-7.15,1.311
243.1,709.3,-3.57,0.503,-7.07,1.409
243.0,709.7,-3.71,0.110,-7.05,1.434
242.9,709.9,-3.72,0.081,-7.13,1.336
242.8,710.3,-3.82,-0.200,-7.43,0.968
242.7,710.8,-3.73,0.053,-7.72,0.612
242.6,711.4,-3.8,-0.143,-8.05,0.207
242.5,711.8,-3.81,-0.172,-8.27,-0.063
242.4,712.1,-3.69,0.166,-8.17,0.060
242.3,712.4,-3.71,0.110,-8.21,0.011
242.2,712.9,-3.74,0.025,-8.18,0.047
242.1,713.4,-3.71,0.110,-8.25,-0.039
242.0,713.6,-3.66,0.250,-8.0,0.268
241.9,713.9,-3.81,-0.172,-8.32,-0.124
241.8,714.3,-3.82,-0.200,-8.34,-0.149
241.7,714.7,-3.83,-0.228,-8.42,-0.247
241.6,714.9,-3.93,-0.509,-8.49,-0.333
241.5,715.2,-4.06,-0.874,-8.63,-0.505
241.4,715.7,-3.86,-0.312,-8.4,-0.223
241.3,716.2,-3.95,-0.565,-8.61,-0.480
241.2,716.6,-3.91,-0.453,-8.63,-0.505
241.1,717.1,-3.94,-0.537,-8.7,-0.591
241.0,717.5,-3.73,0.053,-8.64,-0.517
240.9,718.0,-3.77,-0.059,-8.71,-0.603
240.8,718.3,-3.83,-0.228,-8.7,-0.591
240.7,718.8,-3.74,0.025,-8.55,-0.407
240.6,719.2,-3.88,-0.368,-8.55,-0.407
240.5,719.6,-3.82,-0.200,-8.39,-0.210
240.4,720.1,-3.99,-0.677,-8.6,-0.468
240.3,720.5,-3.81,-0.172,-8.35,-0.161
240.2,720.9,-4.05,-0.846,-8.49,-0.333
240.1,721.3,-4.0,-0.706,-8.54,-0.394
